年号一,年号二,公元
洪武元,洪武戊申,1368
洪武二,洪武己酉,1369
洪武三,洪武庚戌,1370
洪武四,洪武辛亥,1371
洪武五,洪武壬子,1372
洪武六,洪武癸丑,1373
洪武七,洪武甲寅,1374
洪武八,洪武乙卯,1375
洪武九,洪武丙辰,1376
洪武十,洪武丁巳,1377
洪武十一,洪武戊午,1378
洪武十二,洪武己未,1379
洪武十三,洪武庚申,1380
洪武十四,洪武辛酉,1381
洪武十五,洪武壬戌,1382
洪武十六,洪武癸亥,1383
洪武十七,洪武甲子,1384
洪武十八,洪武乙丑,1385
洪武十九,洪武丙寅,1386
洪武二十,洪武丁卯,1387
洪武二十一,洪武戊辰,1388
洪武二十二,洪武己巳,1389
洪武二十三,洪武庚午,1390
洪武二十四,洪武辛未,1391
洪武二十五,洪武壬申,1392
洪武二十六,洪武癸酉,1393
洪武二十七,洪武甲戌,1394
洪武二十八,洪武乙亥,1395
洪武二十九,洪武丙子,1396
洪武三十,洪武丁丑,1397
洪武三十一,洪武戊寅,1398
建文元,建文己卯,1399
建文二,建文庚辰,1400
建文三,建文辛巳,1401
建文四,建文壬午,1402
永乐元,永乐癸未,1403
永乐二,永乐甲申,1404
永乐三,永乐乙酉,1405
永乐四,永乐丙戌,1406
永乐五,永乐丁亥,1407
永乐六,永乐戊子,1408
永乐七,永乐己丑,1409
永乐八,永乐庚寅,1410
永乐九,永乐辛卯,1411
永乐十,永乐壬辰,1412
永乐十一,永乐癸巳,1413
永乐十二,永乐甲午,1414
永乐十三,永乐乙未,1415
永乐十四,永乐丙申,1416
永乐十五,永乐丁酉,1417
永乐十六,永乐戊戌,1418
永乐十七,永乐己亥,1419
永乐十八,永乐庚子,1420
永乐十九,永乐辛丑,1421
永乐二十,永乐壬寅,1422
永乐二十一,永乐癸卯,1423
永乐二十二,永乐甲辰,1424
洪熙元,洪熙乙巳,1425
宣德元,宣德丙午,1426
宣德二,宣德丁未,1427
宣德三,宣德戊申,1428
宣德四,宣德己酉,1429
宣德五,宣德庚戌,1430
宣德六,宣德辛亥,1431
宣德七,宣德壬子,1432
宣德八,宣德癸丑,1433
宣德九,宣德甲寅,1434
宣德十,宣德乙卯,1435
正统元,正统丙辰,1436
正统二,正统丁巳,1437
正统三,正统戊午,1438
正统四,正统己未,1439
正统五,正统庚申,1440
正统六,正统辛酉,1441
正统七,正统壬戌,1442
正统八,正统癸亥,1443
正统九,正统甲子,1444
正统十,正统乙丑,1445
正统十一,正统丙寅,1446
正统十二,正统丁卯,1447
正统十三,正统戊辰,1448
正统十四,正统己巳,1449
景泰元,景泰庚午,1450
景泰二,景泰辛未,1451
景泰三,景泰壬申,1452
景泰四,景泰癸酉,1453
景泰五,景泰甲戌,1454
景泰六,景泰乙亥,1455
景泰七,景泰丙子,1456
景泰八,景泰丁丑,1457
天顺元,天顺丁丑,1457
天顺二,天顺戊寅,1458
天顺三,天顺己卯,1459
天顺四,天顺庚辰,1460
天顺五,天顺辛巳,1461
天顺六,天顺壬午,1462
天顺七,天顺癸未,1463
天顺八,天顺甲申,1464
成化元,成化乙酉,1465
成化二,成化丙戌,1466
成化三,成化丁亥,1467
成化四,成化戊子,1468
成化五,成化己丑,1469
成化六,成化庚寅,1470
成化七,成化辛卯,1471
成化八,成化壬辰,1472
